downloaded at,2026/03/01,初期値(web用),web用,,,,,,,,,,
UNPAIRED,WIP,WIP,Not used.,None,None,".. code-block:: text

    !UNPAIRED  ! read only if nel is odd or forceunpaired=.true.
    ! 2  ! norb_unpaired:  number of orbitals for the unpaired electron
    !! array with 2*norb_orbunpaired
    !! first atom number and  second the orbital number
    !1 5 2 3
    !! so this means the fifth orbital on atom 1 and the third orbital on atom 2
",".. code-block:: text

    UNPAIRED  ! read only if nel is odd
    2  ! norb_unpaired:  number of orbitals for the unpaired electron
    ! array with 2*norb_orbunpaired
    ! first atom number and  second the orbital number
    1 5 2 3
    ! so this means the fifth orbital on atom 1 and the third orbital on atom 2
",UNPAIRED,makefort10.x,None,makefort10_67,WIP,
"""ATOM\_""//trim(intc(zeta(1, i1)))",WIP,WIP,Not used.,exist,None,".. code-block:: text

    ATOM_14
    &shells
     nshelldet=4
     nshelljas=2
    ! no_3body_jas=.true. ! if true, switch off the three body Jastrow but keep one body for this atom.
    !!! for hybrid orbitals in det and jas
    ! ndet_hyb=4
    ! njas_hyb=2
    !!! mixed orbitals
    ! mixed type orbital the first line below indicates:
    ! 2*l+1 (odd int), #coeff normal , # type orb ,# coeff tempered, alpha, beta
    ! Normal basis:
    ! read C_1,C_2...C_#coeff/2, Z_1,Z_2,...,Z_#coeff/2
    ! C_i = coefficient acting on the function (e.g. exp, gauss.) with exponent Z_i
    ! Tempered basis:
    ! Z_i= alpha * beta**(i-1), i=1,2....#coeff/2
    ! [N.B. if beta (-10.d0 below) < 0 the maximum Z =-beta), beta redefined]
    ! # coeff = Number of exponents x 2
    /
    1 4 300 24
    1 1. 2. 1. 0. 0.03 -10.d0
    3 0 400 24
    1 0.03 1.4519152527d0
    5 0 500 12
    1 0.03 2.26793315527d0
    7 0 600 4
    1 0.03 3.d0
    # comment line before jastrow
    1 4 3000
    1 0.253120000000000  -10.0d0
    3 4 4000
    1 0.203880000000000  10.25d0
",".. code-block:: text

    ATOM_6    (it can be 6.1 6.2 .. 6.99 and they correspond always to Carbon but in possibly
    different positions where one can choose different matrix elements for the Jastrow)
    &shells
    nshelldet=4
    nshelljas=2  ! if negative , i.e. -2, also Jastrow matrix elements are read below)
    !!! for hybrid orbitals in det and jas
    ! ndet_hyb=4 authomatic generation of hybrid orbitals in the given (scontracted) basis defined by normal orbitals.
    ! njas_hyb=2
    /
    1           4         300
    1  0.2  1.2 1.00000 0.0
    3           1         36
    1  0.21
    1           4         300
    2  0.2  1.2 1.00000 0.0
    3           1         36
    2  0.21
    1        8     900000     ! hybrid orbital put by hand  in this case when ndet_hyb=0
    1        1 2   1 3   1 0 0 0     ! This is the case with yes_pfaff=.true. the spin-down basis is replicated
    the first two indicate the spin-up orbitals, the second two the spin-down
    they have to be the same number but not necessarily the same orbitals.
    # empty line
    1	1	100
    1   0.2
    1	1	100
    2   0.2

    #  one line before writing extra lines, that are read  if nshelljas<0
       n1 n2  # n1 is the number of extra lines to be read after this one, n2 is an integer defining
        three option for defining the matrix elements of the one body and two body atomic  Jastrow factor.

    In all cases all matrix elements not specified are initialized to zero.
    Case 1)  n2=-1
    The extra lines refers only to one body in the basis enumerated by the previous lines.
    NB the three-body can be cut an paste below after an optimization but
    the matrix elements have to be scaled appropriately according to (Total #el used in the optimization -1)/(#el atom (valence one used) -1).
    Conversely one can used unscaled ME but one has to define scale_fatjas=Total #el used in the optimization, e.g.
    if you do CO this number is 6+8=14, even if the ME refers to C only.
    In the above example 2s2p1hyb the enumeration goes from 1 to 2 +2 x3 +1=9

       1   matrix element value for one-body (first 1s)
       2  ....
       9  ...

    Case 2)  n2=0   the extra lines refer to two-body matrix elements with no reference to the
             constant orbital, used for defining the one body Jastrow.

        1  1   matrix elements referring to 1 1 in the above basis enumeration
        1  2    ..
        1  9  ...
        9  9  ...


    Case 3)  General both one-body and two body matrix elements can be defined
    n2=an arbitrary integer> atomic basis dimension (=9 in the above example) indicates
    conventionally  the constant orbital used  for defining the one body
    e.g. we set n2=23 in this example

        1  1   matrix elements referring to 1 1 in the above basis enumeration
        1  2    ..
        1  9  ...
        9  9  ...
        1 23 ...    # one body matrix element defined here and below
        2 23 ...
        ...
        9 23 ...
",ATOM_number,makefort10.x,makefort10_01,makefort10_68,WIP,
epsdgm,``real*8``,``1d-14``,"Numeric value. If epsdgm<0, fast routine with no diag is used. Only filling random molecular orbitals. When epsdgm=-1.0, it converts a symmagp=.true. to a symmagp=.false fort.10.","Numeric value. If epsdgm<0, fast routine with no diag is used. Only filling random molecular orbitals. When epsdgm=-1.0, it converts a symmagp=.true. to a symmagp=.false fort.10.",None,".. code-block:: text

    epsdgel default machine precision,
    if epdgm<0 --> fast routine no diag.
    only filling random molecular orbitals.
    NEW! epsdgm=-1.0 convert a symmagp=.true.
    to a symmagp=.false fort.10
",None,control,convertfort10mol.x,convertfort10mol_02,convertfort10mol_01,convertfort10mol.f90:93,
molopt,``integer``,``0``,"Numeric value. If molopt>2, the best atomic contracted are evaluated using DMRG. molopt=2 for only AGP, molopt=3 for AGP and Jastrow.","Numeric value. If molopt>2, the best atomic contracted are evaluated using DMRG. molopt=2 for only AGP, molopt=3 for AGP and Jastrow.",None,".. code-block:: text

    default,  molopt>2 if best atomic contracted are evaluated
    using DMRG. molopt=2 only AGP, molopt=3 AGP and Jastrow
",".. code-block:: text

    Only the parameter ``molopt`` requires detailed explanation in this tool.

    After running this tool the coefficient of the contracted atomic orbitals
    are  arbitrary because all the original  wave function (in ``fort.10_in``)
    is rewritten (in ``fort.10_new``)  in terms of molecular orbitals defined
    in the original primitive basis (e.g. all independent atomic gaussian basis
    defining the original ``fort.10_in``).

    if molopt>= 2  then the coefficients of the contracted atomic
    orbitals will no longer be optimizable in a subsequent minimization.
    Otherwise all contracted atomic orbitals will be optimized with
    the corresponding option molopt=1 in datasminmol.input
    or molopt=0 (default) in datasmin.input

    By using abs(molopt)>=2 this subroutine initialize the coefficients
    of the contracted atomic orbitals,using dmrg (the system
    has to represent at best the universe) to evaluate
    the best atomic contracted orbitals (the system) that can be connected
    to the full AGP matrix squared  (the universe now written in terms
    of molecular orbitals). See the DMRG paper by S.R. White PRB 48, 10345 (1993).
    The algorithm is: be f(r1,r) the AGP obtained by restricting r1 to all
    atomic orbitals of given type (s,p,d) acting on a given atom.
    The density matrix is DMRG(r1,r2)=int_(r' \in universe)  f(r1,r') f(r2,r').
    The best atomic orbitals are the eigenvector of the density matrix
    with highest eigenvalue.
",control,convertfort10mol.x,convertfort10mol_01,convertfort10mol_02,convertfort10mol.f90:92,
weight_loc,``real*8``,``-1.d0``,WIP,None,None,None,None,control,convertfort10mol.x,,convertfort10mol_03,convertfort10mol.f90:95,
power,``real*8``,``1.d0``,WIP,None,None,None,None,control,convertfort10mol.x,,convertfort10mol_04,convertfort10mol.f90:94,
orthoyes,``logical``,``.true.``,"Logical value. If set to .true., orthogonalization of unpaired orbitals is employed.","Logical value. If set to .true., orthogonalization of unpaired orbitals is employed.",None,default . employ orthogonalization unpaired orbitals,None,control,convertfort10mol.x,convertfort10mol_03,convertfort10mol_05,convertfort10mol.f90:96,
yesbig,``logical``,``.false.``,WIP,None,None,None,None,control,convertfort10mol.x,,convertfort10mol_06,convertfort10mol.f90:90,
membig,``logical``,``.true.``,"Logical value. If set to .false., coefficients of molecular orbitals are changed to allow stable optimization.","Logical value. If set to .false., coefficients of molecular orbitals are changed to allow stable optimization.",None,".. code-block:: text

    if membig=.false. change coefficients molecular orbitals
    to allow stable optimization with this option.
",None,control,convertfort10mol.x,convertfort10mol_04,convertfort10mol_07,convertfort10mol.f90:91,
gramyes,``logical``,``.false.``,WIP,None,None,None,None,control,convertfort10mol.x,,convertfort10mol_08,convertfort10mol.f90:97,
epsbas,``real*8``,``1d-6``,WIP,None,None,None,None,control,convertfort10mol.x,,convertfort10mol_09,m_common/memOP.f90:40,
allowed_averagek,``logical``,``.true.``,WIP,None,None,None,None,control,convertfort10mol.x,,convertfort10mol_10,m_common/memOP.f90:46,
add_onebody2det,``logical``,``.true.``,WIP,None,None,None,None,control,convertfort10mol.x,,convertfort10mol_11,convertfort10mol.f90:99,
only_molecular,``logical``,``.false.``,"Logical value. If set to .true., only molecular orbitals are assumed in the contracted basis to minimize memory. It is not allowed for full AGP optimization, rather for DFT or VMC/DMC at fixed variational parameters.","Logical value. If set to .true., only molecular orbitals are assumed in the contracted basis to minimize memory. It is not allowed for full AGP optimization, rather for DFT or VMC/DMC at fixed variational parameters.",None,".. code-block:: text

    If .true. only molecular orbitals are assumed in
    the contracted basis in order to minimize memory.
    It is not allowed forfull AGP  optimization,
    rather for DFT or VMC/DMC at fixed variational parameters.
",".. code-block:: text

    only_molecular=.true./.false. ! If .true. only molecular orbitals
    are assumed in the contracted basis in order to minimize memory.
    It is  not allowed for AGP optimization,  rather for DFT or VMC/DMC
    at fixed variational parameters or optimization in the restricted
    molecular orbital basis.
",control,convertfort10mol.x,convertfort10mol_05,convertfort10mol_12,convertfort10mol.f90:100,
add_offmol,``logical``,``.false.``,"add_offmol=.true./.false. If the above is true , add also off diagonal elements in the molecular orbital basis defined by the above option.","add_offmol=.true./.false. If the above is true , add also off diagonal elements in the molecular orbital basis defined by the above option.",None,None,".. code-block:: text

    add_offmol=.true./.false. If the above is true,
    add also off diagonal elements in the molecular
    orbital basis defined by the above option.
",control,convertfort10mol.x,,convertfort10mol_13,convertfort10mol.f90:101,
nbufd,``integer``,"- if epsdgm >= 0.d0

  + ``1000`` if nelorb < 2000
  + ``100`` if nelorb >= 2000

- ``1`` if epsdgm < 0.d0
",Numeric value. Represents buffer default.,Numeric value. Represents buffer default.,None,buffer default,None,mesh_info,convertfort10mol.x,convertfort10mol_05,convertfort10mol_14,convertfort10mol.f90:106 -- 114,
nx,``integer``,``0``,Numeric value. Number of mesh points in the x direction to evaluate overlaps.,Numeric value. Number of mesh points in the x direction to evaluate overlaps.,The number of mesh in x direction.,number of mesh point in the direction x to evaluate overlaps,None,mesh_info,convertfort10mol.x,convertfort10mol_02,convertfort10mol_15,convertfort10mol.f90:115,
ny,``integer``,``nx``,Numeric value. Default is nx.,Numeric value. Default is nx.,"The number of mesh in y direction. If it is not specified, ny = nx",default ny=nx,None,mesh_info,convertfort10mol.x,convertfort10mol_03,convertfort10mol_16,convertfort10mol.f90:135,
nz,``integer``,``ny``,Numeric value. Default is ny.,Numeric value. Default is ny.," number of mesh in z direction. If it is not specified, nz = nx",default nz=ny,None,mesh_info,convertfort10mol.x,convertfort10mol_04,convertfort10mol_17,convertfort10mol.f90:136,
ax,``real*8``,``0.1d0``,"Numeric value. Lattice mesh on the x direction, not used for PBC.","Numeric value. Lattice mesh on the x direction, not used for PBC.",Mesh width in x direction. The unit is Bohr,"lattice mesh on the x direction, not used for PBC.",None,mesh_info,convertfort10mol.x,convertfort10mol_01,convertfort10mol_18,convertfort10mol.f90:118,
ay,``real*8``,``0.d0``,WIP,None,"Mesh width in y direction. If it is not specified, ay = ax.",None,None,mesh_info,convertfort10mol.x,,convertfort10mol_19,convertfort10mol.f90:119,
az,``real*8``,``0.d0``,WIP,None,"Mesh width in y direction. If it is not specified, az = ax.",None,None,mesh_info,convertfort10mol.x,,convertfort10mol_20,convertfort10mol.f90:120,
shift_origin,``logical``,``.true.``,WIP,None,None,None,None,mesh_info,convertfort10mol.x,,convertfort10mol_21,convertfort10mol.f90:121,
shiftx,``logical``,``.false.``,WIP,None,None,None,None,mesh_info,convertfort10mol.x,,convertfort10mol_22,convertfort10mol.f90:122,
shifty,``logical``,``.false.``,WIP,None,None,None,None,mesh_info,convertfort10mol.x,,convertfort10mol_23,convertfort10mol.f90:123,
shiftz,``logical``,``.false.``,WIP,None,None,None,None,mesh_info,convertfort10mol.x,,convertfort10mol_24,convertfort10mol.f90:124,
nmol,``integer``,``molecular - nelup + neldo``,"Numeric value. Number of molecular orbitals in fort.10 in the AGP, if nmol>0 and unpaired orbitals are present the total number of molecular orbitals in fort.10 is molecular = nmol+#unpaired orbitals (nelup-neldo)","Numeric value. Number of molecular orbitals in fort.10 in the AGP, if nmol>0 and unpaired orbitals are present the total number of molecular orbitals in fort.10 is molecular = nmol+#unpaired orbitals (nelup-neldo)","The numbers of molecular orbitals. When they equals to N/2, where N is the total number of electrons in the system, JAGP = JDFT.",".. code-block:: text

    number of molecular orbitals in fort.10 in the AGP, if nmol>0
    and unpaired orbitals are present the total number of molecular
    orbitals in fort.10 is molecular= nmol+#unpaired orbitals (nelup-neldo)
",".. code-block:: text

    The number of molecular orbitals  appended in ``fort.10_new``
    is  the sum of ``nmol`` (input)  and the number of
    unpaired orbitals= ``nelup``-``neldo``.
",molec_info,convertfort10mol.x,convertfort10mol_01,convertfort10mol_25,convertfort10mol.f90:259,
nmolmin,``integer``,``1``,"Numeric value. The first nmolmin molecular eigenvalue are set to one. If nmolmin=nmolmax=Nel/2, a perfect Slater determinant is projected.","Numeric value. The first nmolmin molecular eigenvalue are set to one. If nmolmin=nmolmax=Nel/2, a perfect Slater determinant is projected.","The numbers of molecular orbitals. When they equals to N/2, where N is the total number of electrons in the system, JAGP = JDFT.",".. code-block:: text

    nmolmin=128    !  ==    the first nmolmin molecular eigenvalue are set to one
                   !e.g. if nmolmin=nmolmax=Nel/2  a perfect Slater determinant is
                   !projected.
",None,molec_info,convertfort10mol.x,convertfort10mol_03,convertfort10mol_26,convertfort10mol.f90:265,
nmolmax,``integer``,``nmol``,Numeric value. Used in projection (default nmolmax=nmol).,Numeric value. Used in projection (default nmolmax=nmol).,"The numbers of molecular orbitals. When they equals to N/2, where N is the total number of electrons in the system, JAGP = JDFT.",nmolmax=136    !  ==          used in projection (default nmolmax=nmol),None,molec_info,convertfort10mol.x,convertfort10mol_02,convertfort10mol_27,convertfort10mol.f90:260,"nmol < nmolmax が条件であるのに、Warningの出力はnmol >= nmolmaxとなっている?
! convertfort10mol.f90:261 -- 264
if (nmol .lt. nmolmax) then
  nmol = nmolmax
  write (6, *) ' Warning nmol>= nmolmax, changed nmol=nmolmax', nmol
end if"""
printoverlap,``logical``,``.false.``,"Logical value. If set to .true., it prints overlaps between nmolmin, nmolmax orbitals.","Logical value. If set to .true., it prints overlaps between nmolmin, nmolmax orbitals.",None,"if .true. print overlaps between nmolmin,nmolmax orb.",None,molec_info,convertfort10mol.x,convertfort10mol_04,convertfort10mol_28,convertfort10mol.f90:254,
wherescratch,``character(60 + lchlen)`` (lchlen = 1000),``'./'``,WIP,None,None,None,None,option,convertfort10.x,,convertfort10_01,convertfort10.f90:152,
eqion,``logical``,``.true.``,"Logical value. When set to .false., you can allow for a permutation of ions but the corresponding pseudo to fort.10_out has to be defined (if pseudos are used) named pseudo_out.","Logical value. When set to .false., you can allow for a permutation of ions but the corresponding pseudo to fort.10_out has to be defined (if pseudos are used) named pseudo_out.",None,When .false. you can allow for a permutation of ions but also the pseudo corresponding to fort.10_out has to be defined (if pseudo are used) with the name pseudo_out,None,option,convertfort10.x,,convertfort10_02,convertfort10.f90:147,
bigram,``logical``,``.true.``,"Logical value. If set to .true., it uses RAM to store the initial file.","Logical value. If set to .true., it uses RAM to store the initial file.",None,Uses ram to store initial file.,None,option,convertfort10.x,,convertfort10_03,convertfort10.f90:148,
symiesup,``logical``,``.true.``,"Logical value. If set to .true., it uses symmetries for contracted orbitals in AGP.","Logical value. If set to .true., it uses symmetries for contracted orbitals in AGP.",None,Uses symmetries for contracted orbitals in AGP.,None,option,convertfort10.x,,convertfort10_04,convertfort10.f90:149,
